C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,217833333333333","0,277833333333333","0,444833333333333","0,0236333333333333","0,0387333333333333","0,0112833333333333","0,0299166666666667","0,00421666666666667","0,164166666666667",St 48
"0,2368","0,1524","0,7212","0,04532","0,0711","0,03792","0,04838","0,0026","0,1698",St 48
"0,247833333333333","0,248833333333333","0,436666666666667","0,01675","0,0360833333333333","0,0124333333333333","0,0378833333333333","0,00246666666666667","0,140666666666667",St 48
"0,176333333333333","0,158","0,643833333333333","0,0145","0,0321833333333333","0,0367833333333333","0,0554833333333333","0,002","0,186",St 48
"0,3238","0,282","0,651","0,0232","0,02994","0,03838","0,06034","0,002","0,118",St 48
"0,312","0,221333333333333","0,677","0,0068","0,0279333333333333","0,0100833333333333","0,0598333333333333","0,00381666666666667","0,231",St 48
"0,276333333333333","0,255833333333333","0,652166666666667","0,0216666666666667","0,0262166666666667","0,00501666666666667","0,02455","0,00588333333333333","0,101233333333333",St 48
"0,272","0,276666666666667","0,577166666666667","0,0106833333333333","0,0394333333333333","0,00515","0,0378166666666667","0,00281666666666667","0,174",St 48
"0,0403166666666667","0,005","0,342666666666667","0,00573333333333333","0,0172833333333333","0,00993333333333333","0,0866","0,00216666666666667","0,1395",St 37
"0,246333333333333","0,247333333333333","0,437","0,0129166666666667","0,0264333333333333","0,0116","0,0339333333333333","0,00245","0,137333333333333",St 48
"0,212333333333333","0,148666666666667","0,710166666666667","0,0250333333333333","0,0519666666666667","0,0665166666666667","0,0687833333333333","0,002","0,189833333333333",St 48
"0,2185","0,180166666666667","0,647666666666667","0,0131333333333333","0,0299333333333333","0,0354166666666667","0,0569666666666667","0,0022","0,1625",St 48
"0,161666666666667","0,264666666666667","0,852333333333333","0,01345","0,02705","0,015","0,05655","0,00206666666666667","0,357166666666667",St 48
"0,215666666666667","0,166","0,752333333333333","0,0227666666666667","0,0356333333333333","0,0217","0,0421666666666667","0,002","0,153333333333333",St 48
"0,187833333333333","0,172166666666667","0,650166666666667","0,0137166666666667","0,0324666666666667","0,0351166666666667","0,0566","0,002","0,164666666666667",St 48
"0,246833333333333","0,22","0,855833333333333","0,0293666666666667","0,0457166666666667","0,0206833333333333","0,0468833333333333","0,00291666666666667","0,144833333333333",St 48
"0,215166666666667","0,0115666666666667","0,593","0,0541833333333333","0,0389166666666667","0,01085","0,0249","0,002","0,0484666666666667",St 48
"0,0506666666666667","0,005","0,558","0,00886666666666667","0,0206833333333333","0,0115333333333333","0,0341","0,002","0,0867",St 37
"0,1932","0,255","0,4342","0,02386","0,03308","0,01238","0,02712","0,0038","0,1594",St 48
"0,2165","0,005","0,674666666666667","0,0336666666666667","0,0266","0,0718833333333333","0,0829333333333334","0,04085","0,104166666666667",St 48
"0,228857142857143","0,005","0,665571428571429","0,0362857142857143","0,0258857142857143","0,0680142857142857","0,0797285714285714","0,0348857142857143","0,102",St 48
"0,0786","0,005","0,475333333333333","0,01655","0,0225833333333333","0,0135166666666667","0,0338","0,002","0,123833333333333",St 37
"0,142","0,875333333333333","0,841166666666667","0,0251666666666667","0,04795","0,005","0,0383666666666667","0,00718333333333333","0,156",St Si
"0,2635","0,00866666666666666","0,550333333333333","0,0429166666666667","0,0452","0,005","0,0293166666666667","0,00223333333333333","0,06735",St 48
"0,228833333333333","0,268166666666667","0,4445","0,0242833333333333","0,0398333333333333","0,0129833333333333","0,0289666666666667","0,00295","0,164333333333333",St 48
"0,243666666666667","0,188","0,708333333333333","0,0149833333333333","0,0331666666666667","0,0241333333333333","0,0394","0,00246666666666667","0,1575",St 48
"0,195833333333333","0,166833333333333","0,660333333333333","0,0125666666666667","0,0273833333333333","0,0435333333333333","0,05325","0,00228333333333333","0,175333333333333",St 48
"0,146","0,355833333333333","0,505833333333333","0,0196166666666667","0,03085","0,0116833333333333","0,0312666666666667","0,00415","0,111833333333333",St 48
"0,181","0,176166666666667","0,657833333333333","0,00778333333333333","0,0311","0,0398","0,0569333333333333","0,00213333333333333","0,164166666666667",St 48
"0,23075","0,16925","0,680125","0,0121","0,0312","0,044475","0,055525","0,0021375","0,178875",St 48
"0,204","0,168166666666667","0,752666666666667","0,0236333333333333","0,0361166666666667","0,0213833333333333","0,0424","0,002","0,154833333333333",St 48
"0,278","0,153166666666667","0,6905","0,00725","0,0261333333333333","0,05575","0,047","0,00351666666666667","0,176833333333333",St 48
"0,29025","0,15275","0,68875","0,0102875","0,0296125","0,05415","0,04585","0,004575","0,17525",St 48
"0,1895","0,2195","0,8655","0,0267166666666667","0,0422333333333333","0,0215666666666667","0,0461333333333333","0,00211666666666667","0,145666666666667",St 48
"0,251066666666667","0,246333333333333","0,8672","0,02856","0,0556","0,0222266666666667","0,0482","0,00396","0,1462",St 48
"0,324833333333333","0,00995","0,424666666666667","0,0275166666666667","0,0230833333333333","0,005","0,0281","0,00293333333333333","0,05795",St 48
"0,309166666666667","0,00923333333333333","0,430333333333333","0,03055","0,0284833333333333","0,005","0,0294166666666667","0,002","0,0590166666666667",St 48
"0,0520375","0,005","0,492125","0,0089","0,0168875","0,0135375","0,0531","0,0025875","0,14325",St 37
"0,0514","0,005","0,4725","0,00796666666666667","0,0183","0,0127","0,05215","0,002","0,139166666666667",St 37
"0,216714285714286","0,247571428571429","0,681857142857143","0,0191571428571429","0,0437285714285714","0,0121714285714286","0,0436285714285714","0,00212857142857143","0,172285714285714",St 48
"0,249333333333333","0,255833333333333","0,662833333333333","0,01445","0,0442","0,0130333333333333","0,0471333333333333","0,0028","0,166",St 48
"0,219666666666667","0,236333333333333","0,611","0,00453333333333333","0,0256333333333333","0,005","0,0406","0,0113333333333333","0,151",St 48
"0,136","0,201","0,524666666666667","0,0386166666666667","0,04015","0,0052","0,0297166666666667","0,0259","0,0137833333333333",St 48
"0,128","0,207","0,513833333333333","0,0319833333333333","0,0397","0,00745","0,0351333333333333","0,0290333333333333","0,0141",St 48
"0,197666666666667","0,2095","0,582166666666667","0,0265333333333333","0,0366833333333333","0,00556666666666667","0,0491166666666667","0,002","0,192166666666667",St 48
"0,204166666666667","0,226","0,5615","0,0292333333333333","0,0437333333333333","0,00626666666666667","0,0506833333333333","0,002","0,187666666666667",St 48
"0,179833333333333","0,280666666666667","0,6815","0,02665","0,0439833333333333","0,0079","0,0482666666666667","0,00201666666666667","0,156166666666667",St 48
"0,20375","0,283","0,69725","0,0298125","0,0474625","0,0091625","0,0475375","0,0024875","0,15625",St 48
"0,185666666666667","0,005","0,4415","0,01565","0,0352333333333333","0,0190666666666667","0,0715","0,002","0,150333333333333",St 37
"0,236666666666667","0,348166666666667","0,682333333333333","0,0200333333333333","0,0528","0,03075","0,146166666666667","0,0046","0,213333333333333",St 48
"0,2252","0,241","0,698","0,01912","0,03524","0,01336","0,04176","0,00208","0,1704",St 48
"0,149833333333333","0,312333333333333","0,7205","0,0408166666666667","0,0402666666666667","0,00885","0,0334166666666667","0,0174666666666667","0,0148",St 48
"0,1388","0,351","0,5796","0,04082","0,05398","0,0071","0,03274","0,01326","0,01396",St 48
"0,147666666666667","0,348166666666667","0,575833333333333","0,041","0,0502166666666667","0,00735","0,0301","0,0216166666666667","0,0138833333333333",St 48
"0,21","0,286666666666667","0,688333333333333","0,027","0,0559","0,00868333333333333","0,0469166666666667","0,00215","0,156333333333333",St 48
"0,1508","0,8096","0,9372","0,0184","0,04316","0,01136","0,05342","0,00322","0,1918",St Si
"0,273833333333333","0,338666666666667","0,522166666666667","0,0104666666666667","0,0304","0,00813333333333333","0,08635","0,00475","0,208333333333333",St 48
"0,2315","0,199833333333333","0,592666666666667","0,0287","0,0396833333333333","0,00811666666666667","0,0483833333333333","0,002","0,187833333333333",St 48
"0,1645","0,972","0,6985","0,0096","0,044375","0,005","0,03755","0,016525","0,12725",St Si
"0,0833888888888889","0,172666666666667","0,626222222222222","0,0663333333333333","0,1","0,005","0,0294222222222222","0,0138444444444444","0,111888888888889",St 37
"0,263","0,24575","0,6855","0,006025","0,041275","0,005","0,036175","0,008675","0,15625",St 48
"0,10955","0,914333333333333","0,8785","0,0146166666666667","0,0254833333333333","0,005","0,0504333333333333","0,00308333333333333","0,192666666666667",St Si
"0,05995","0,005","0,466833333333333","0,00513333333333333","0,0165666666666667","0,0491833333333333","0,0577666666666667","0,002","0,181666666666667",St 37
"0,0263","0,005","0,409666666666667","0,0243666666666667","0,0277666666666667","0,00505","0,0303166666666667","0,002","0,0109666666666667",St 37
"0,132","0,005","0,413333333333333","0,00533333333333333","0,0190166666666667","0,109","0,0465666666666667","0,002","0,1305",St 37
"0,183833333333333","0,005","0,452666666666667","0,01555","0,0297166666666667","0,01835","0,0730166666666667","0,002","0,157333333333333",St 37
"0,193166666666667","0,306166666666667","0,660666666666667","0,0218333333333333","0,0419333333333333","0,03235","0,119833333333333","0,00631666666666667","0,207",St 48
"0,211333333333333","0,309833333333333","0,659333333333333","0,0215333333333333","0,0422833333333333","0,0326","0,121","0,0027","0,211333333333333",St 48
"0,1825","0,2845","0,697333333333333","0,0194833333333333","0,0337","0,00821666666666667","0,04485","0,002","0,1595",St 48
"0,209","0,199","0,685666666666667","0,0157333333333333","0,0300333333333333","0,0116833333333333","0,0529833333333333","0,002","0,198",St 48
"0,217","0,224833333333333","0,66","0,0232666666666667","0,0345","0,0238166666666667","0,0408333333333333","0,00276666666666667","0,179166666666667",St 48
"0,217666666666667","0,223166666666667","0,66","0,0259166666666667","0,0381166666666667","0,0236333333333333","0,0414333333333333","0,00218333333333333","0,181166666666667",St 48
"0,132166666666667","0,845","0,82","0,0251833333333333","0,0435333333333333","0,01225","0,05275","0,00315","0,148666666666667",St Si
"0,161666666666667","0,888777777777778","0,84","0,0269888888888889","0,0563777777777778","0,0126777777777778","0,0524555555555556","0,00456666666666667","0,148555555555556",St Si
"0,147333333333333","0,869333333333333","0,84","0,0307","0,0598166666666667","0,0140333333333333","0,0566166666666667","0,00346666666666667","0,147333333333333",St Si
"0,239333333333333","0,226833333333333","0,79","0,0389333333333333","0,0370666666666667","0,0153","0,0346833333333333","0,00201666666666667","0,139666666666667",St 48
"0,108333333333333","0,826833333333333","0,81","0,0246","0,0396166666666667","0,0142666666666667","0,0538666666666667","0,0032","0,147833333333333",St Si
"0,128","0,858444444444444","0,8","0,0238222222222222","0,0456222222222222","0,0151777777777778","0,0559555555555556","0,00348888888888889","0,147444444444444",St Si
"0,2","0,278333333333333","0,73","0,0579666666666667","0,0661666666666667","0,0161833333333333","0,0388833333333333","0,00646666666666667","0,141833333333333",St 48
"0,1065","0,850666666666667","1,03","0,0274","0,04815","0,0159","0,0457333333333333","0,00315","0,169166666666667",St Si
"0,136333333333333","0,852","0,83","0,0524","0,0433","0,01145","0,0559166666666667","0,0107","0,183166666666667",St Si
"0,269833333333333","0,272166666666667","0,73","0,042","0,0494166666666667","0,0157166666666667","0,0400333333333333","0,00311666666666667","0,140666666666667",St 48
"0,2425","0,2165","0,67","0,0288333333333333","0,0378833333333333","0,0331666666666667","0,0430333333333333","0,00438333333333333","0,180166666666667",St 48
"0,2525","0,252666666666667","0,66","0,0421166666666667","0,0536333333333333","0,012","0,0311166666666667","0,00341666666666667","0,131",St 48
"0,25325","0,2505","0,69","0,04025","0,053725","0,01415","0,03445","0,004825","0,138",St 48
"0,234333333333333","0,3185","0,66","0,0325333333333333","0,05675","0,0323333333333333","0,1375","0,00318333333333333","0,193",St 48
"0,326666666666667","0,332666666666667","0,66","0,03525","0,0634333333333333","0,0342333333333333","0,138333333333333","0,00385","0,193833333333333",St 48
"0,0462666666666667","0,005","0,49","0,0101666666666667","0,0227666666666667","0,00503333333333333","0,0321","0,002","0,0988",St 37
"0,241833333333333","0,251","0,78","0,0395","0,0383166666666667","0,0159666666666667","0,03525","0,00203333333333333","0,141",St 48
"0,2115","0,301166666666667","0,63","0,0233166666666667","0,0497","0,0374","0,1175","0,00363333333333333","0,1915",St 48
"0,221","0,248666666666667","0,68","0,0282833333333333","0,0380833333333333","0,0255333333333333","0,0443333333333333","0,00278333333333333","0,185666666666667",St 48
"0,232666666666667","0,233666666666667","0,67","0,0252666666666667","0,0324666666666667","0,0235666666666667","0,0403333333333333","0,00203333333333333","0,180333333333333",St 48
"0,2445","0,221666666666667","0,62","0,0181","0,0381","0,00881666666666667","0,0397333333333333","0,00263333333333333","0,167333333333333",St 48
"0,2665","0,204","0,62","0,0235833333333333","0,0448666666666667","0,00728333333333333","0,0387666666666667","0,002","0,168333333333333",St 48
"0,211833333333333","0,220666666666667","0,65","0,031","0,03875","0,0253666666666667","0,04305","0,00273333333333333","0,182666666666667",St 48
"0,277625","0,226875","0,65","0,034475","0,0463","0,0257625","0,042525","0,00285","0,180625",St 48
"0,162666666666667","0,501333333333333","0,99","0,0199666666666667","0,0380333333333333","0,325833333333333","0,102166666666667","0,0518666666666667","0,410833333333333",St 48
"0,167666666666667","0,510833333333333","0,97","0,02085","0,03905","0,323333333333333","0,102316666666667","0,0506833333333333","0,397666666666667",St 48
"0,210833333333333","0,255333333333333","0,46","0,0201333333333333","0,0535666666666667","0,0123166666666667","0,0491833333333333","0,00288333333333333","0,241833333333333",St 48
"0,120166666666667","0,005","0,33","0,0194666666666667","0,0313666666666667","0,0204833333333333","0,107166666666667","0,002","0,252333333333333",St 37
"0,224166666666667","0,240833333333333","0,66","0,0241833333333333","0,0320166666666667","0,0234166666666667","0,0404166666666667","0,0056","0,177666666666667",St 48
"0,251833333333333","0,245","0,69","0,0297333333333333","0,0415166666666667","0,0242166666666667","0,0416","0,00311666666666667","0,1885",St 48
"0,2274","0,2847","0,73","0,0304","0,04831","0,02717","0,0402","0,00649","0,1776",St 48
"0,249","0,213857142857143","0,61","0,0216","0,0512285714285714","0,00881428571428571","0,0419714285714286","0,00225714285714286","0,17",St 48
"0,262333333333333","0,216166666666667","0,6","0,0218","0,0457166666666667","0,00858333333333333","0,04235","0,00331666666666667","0,167666666666667",St 48
"0,1916","0,2188","0,64","0,02776","0,05908","0,00898","0,04174","0,0044","0,1748",St 48
"0,228166666666667","0,243333333333333","0,65","0,0203166666666667","0,0498","0,0101166666666667","0,0576833333333333","0,0056","0,174",St 48
"0,227166666666667","0,226666666666667","0,65","0,03285","0,0405666666666667","0,0270833333333333","0,0444833333333333","0,00361666666666667","0,1805",St 48
"0,24525","0,27525","0,76","0,03765","0,0406","0,0162","0,038425","0,002975","0,1445",St 48
"0,173","0,511833333333333","1,02","0,0213","0,03775","0,341333333333333","0,0999833333333333","0,0541833333333333","0,407666666666667",St 48
"0,1645","0,316166666666667","0,73","0,02935","0,0386166666666667","0,03675","0,0795833333333333","0,00561666666666667","0,201833333333333",St 48
"0,25825","0,34275","0,67","0,0365125","0,0708875","0,0294","0,137","0,006375","0,196375",St 48
"0,06792","0,005","0,43","0,01094","0,021","0,0098","0,03708","0,00216","0,0977",St 37
"0,0493833333333333","0,005","0,52","0,0315333333333333","0,02775","0,0416","0,0497666666666667","0,002","0,0529",St 37
"0,07825","0,005","0,57","0,03695","0,0209","0,0112666666666667","0,04135","0,00483333333333333","0,220166666666667",St 37
"0,04182","0,005","0,39","0,02968","0,0192","0,00876","0,02134","0,00214","0,05356",St 37
"0,1338","0,005","0,42","0,01782","0,03966","0,0131","0,02874","0,00268","0,10296",St 37
"0,0763833333333333","0,005","0,45","0,0300666666666667","0,0214166666666667","0,04265","0,04695","0,00335","0,0732666666666667",St 37
"0,038","0,005","0,35","0,0370833333333333","0,0524","0,0088","0,0220666666666667","0,00263333333333333","0,0615",St 37
"0,120833333333333","0,005","0,34","0,0243833333333333","0,0507166666666667","0,0133666666666667","0,0552666666666667","0,0032","0,187666666666667",St 37
"0,08016","0,00614","0,4","0,01306","0,03272","0,01964","0,0469","0,00364","0,2012",St 37
"0,115833333333333","0,835166666666667","0,69","0,0221666666666667","0,0383833333333333","0,0146333333333333","0,04335","0,0055","0,202666666666667",St Si
"0,10218","0,8462","0,72","0,02724","0,04236","0,01532","0,04564","0,00532","0,2118",St Si
"0,134166666666667","0,9845","0,85","0,0323333333333333","0,05175","0,0133166666666667","0,0448833333333333","0,00286666666666667","0,172",St Si
"0,273","0,263333333333333","0,52","0,0159","0,0419666666666667","0,01365","0,0616666666666667","0,00313333333333333","0,197",St 48
"0,259666666666667","0,248666666666667","0,78","0,0450333333333333","0,0424","0,0160666666666667","0,0392","0,00248333333333333","0,143666666666667",St 48
"0,0891166666666667","0,87","0,81","0,0232166666666667","0,04485","0,0148666666666667","0,0607833333333333","0,00286666666666667","0,1555",St Si
"0,272166666666667","0,241166666666667","0,67","0,03995","0,0422666666666667","0,0183","0,0560166666666667","0,00203333333333333","0,156833333333333",St 48
"0,109833333333333","0,835666666666667","0,73","0,0280166666666667","0,0431666666666667","0,0158666666666667","0,0429333333333333","0,00416666666666667","0,2095",St 48
"0,1815","0,214","0,62","0,0410833333333333","0,0516666666666667","0,0235166666666667","0,0481666666666667","0,002","0,149333333333333",St 48
"0,276166666666667","0,296","0,78","0,0301166666666667","0,0273166666666667","0,01775","0,0429166666666667","0,00201666666666667","0,192666666666667",St 48
"0,2455","0,2715","0,75","0,03955","0,0466","0,0153833333333333","0,0401833333333333","0,0024","0,144833333333333",St 48
"0,2525","0,2265","0,68","0,03515","0,0452666666666667","0,0258666666666667","0,04395","0,002","0,190333333333333",St 48
"0,235166666666667","0,252","0,68","0,0376","0,0472","0,0119833333333333","0,0307666666666667","0,00261666666666667","0,134",St 48
"0,238","0,249333333333333","0,66","0,0324333333333333","0,04","0,0121166666666667","0,0311","0,00201666666666667","0,134",St 48
"0,147166666666667","0,324833333333333","0,72","0,0295666666666667","0,0408166666666667","0,02985","0,0762333333333333","0,00671666666666667","0,201333333333333",St 48
"0,224166666666667","0,4605","0,48","0,0156333333333333","0,0375166666666667","0,0107666666666667","0,0587333333333333","0,00813333333333333","0,292166666666667",St 48
"0,06055","0,005","0,36","0,00801666666666667","0,0248166666666667","0,005","0,0408333333333333","0,0029","0,108333333333333",St 37
"0,09935","0,98175","0,48","0,034575","0,0416125","0,0097","0,0351125","0,0053375","0,133125",St Si
"0,0467333333333333","0,005","0,46","0,0378333333333333","0,0200666666666667","0,005","0,01485","0,002","0,0617333333333333",St 37
"0,110583333333333","0,990166666666667","0,57","0,0262833333333333","0,0241","0,00668333333333333","0,0215833333333333","0,0164833333333333","0,087",St Si
"0,0790166666666667","0,005","0,38","0,0145833333333333","0,0344833333333333","0,0196333333333333","0,04385","0,002","0,112666666666667",St 37
"0,0711333333333333","0,005","0,43","0,0239333333333333","0,0167","0,0432666666666667","0,04965","0,00511666666666667","0,0713833333333333",St 37
"0,0344","0,005","0,41","0,0407166666666667","0,03845","0,02155","0,02245","0,002","0,0673833333333333",St 37
"0,230166666666667","0,270166666666667","0,75","0,0409666666666667","0,0413666666666667","0,01625","0,0408333333333333","0,00296666666666667","0,142666666666667",St 48
"0,205833333333333","0,309166666666667","0,63","0,0261666666666667","0,0488666666666667","0,03165","0,116833333333333","0,00576666666666667","0,191333333333333",St 48
"0,0186333333333333","0,005","0,28","0,0240833333333333","0,0229666666666667","0,005","0,0184666666666667","0,00353333333333333","0,0632333333333333",St 37
"0,0498","0,005","0,44","0,0413833333333333","0,0490166666666667","0,0150166666666667","0,02885","0,002","0,05545",St 37
"0,0359166666666667","0,005","0,33","0,01295","0,01985","0,01015","0,0290833333333333","0,002","0,116666666666667",St 37
"0,1365","0,005","0,44","0,0171166666666667","0,0399333333333333","0,0131666666666667","0,02575","0,002","0,104166666666667",St 37
"0,0267666666666667","0,005","0,31","0,0166333333333333","0,0153","0,00586666666666667","0,0251666666666667","0,002","0,0413",St 37
"0,04005","0,005","0,43","0,0524","0,055","0,0228666666666667","0,0229666666666667","0,002","0,0718166666666667",St 37
"0,246833333333333","0,220666666666667","0,826833333333333","0,0324833333333333","0,0559833333333333","0,00611666666666667","0,0543","0,00223333333333333","0,165333333333333",St 48
"0,213333333333333","0,217833333333333","0,8125","0,0280333333333333","0,0414333333333333","0,00558333333333333","0,05175","0,00216666666666667","0,1615",St 48
"0,217","0,005","0,435333333333333","0,00976666666666667","0,0244","0,005","0,05545","0,002","0,139166666666667",St 37
"0,2555","0,184","0,677333333333333","0,0106666666666667","0,0329333333333333","0,005","0,02515","0,002","0,0979166666666667",St 48
"0,236666666666667","0,196666666666667","0,696166666666667","0,00866666666666667","0,0417666666666667","0,005","0,0296","0,002","0,101",St 48
"0,210666666666667","0,178833333333333","0,7355","0,0155166666666667","0,0398833333333333","0,0109","0,0398666666666667","0,002","0,111666666666667",St 48
"0,2564","0,177","0,714","0,01228","0,02674","0,00832","0,03946","0,002","0,1128",St 48
"0,232333333333333","0,275666666666667","0,745","0,0312333333333333","0,0530333333333333","0,0181666666666667","0,0808333333333333","0,00346666666666667","0,142333333333333",St 48
"0,228666666666667","0,305666666666667","0,715333333333333","0,0275333333333333","0,0497666666666667","0,00796666666666667","0,0365333333333333","0,0021","0,144",St 48
"0,223333333333333","0,286","0,702666666666667","0,0252666666666667","0,065","0,006","0,0380333333333333","0,00783333333333333","0,140333333333333",St 48
"0,287833333333333","0,116833333333333","0,8515","0,0355","0,0366833333333333","0,00505","0,0355","0,002","0,115",St 48
"0,121888888888889","0,005","0,563444444444444","0,0306666666666667","0,0173","0,00526666666666667","0,0204333333333333","0,00492222222222222","0,285111111111111",St 37
"0,269666666666667","0,005","0,593833333333333","0,0476666666666667","0,03225","0,005","0,0294833333333333","0,0157166666666667","0,02735",St 37
"0,22","0,005","0,574666666666667","0,0532666666666667","0,0340666666666667","0,005","0,0243333333333333","0,00851666666666667","0,0341666666666667",St 37
"0,22325","0,005","0,55975","0,055075","0,03135","0,005","0,0218","0,009025","0,033425",St 37
"0,118166666666667","0,005","0,528833333333333","0,0279666666666667","0,0149","0,005","0,0204166666666667","0,00403333333333333","0,282333333333333",St 37
"0,0811666666666667","0,0051","0,439333333333333","0,00698333333333333","0,0285333333333333","0,005","0,0511333333333333","0,002","0,170166666666667",St 37
"0,166333333333333","0,27","0,806666666666667","0,0221333333333333","0,0438833333333333","0,00506666666666667","0,0546","0,0041","0,1585",St 48
"0,04295","0,005","0,4155","0,0234333333333333","0,0202833333333333","0,00796666666666667","0,0322166666666667","0,002","0,00693333333333333",St 37
"0,1748","0,005","0,4272","0,01196","0,02524","0,005","0,05518","0,002","0,1382",St 37
"0,1805","0,0122","0,4395","0,0112","0,020425","0,005","0,052875","0,0089","0,1345",St 37
"0,187","0,005","0,400666666666667","0,00975","0,0154333333333333","0,005","0,0535666666666667","0,002","0,132833333333333",St 37
"0,283166666666667","0,177166666666667","0,838833333333333","0,0405166666666667","0,0419166666666667","0,0208666666666667","0,06135","0,00208333333333333","0,1495",St 48
"0,3145","0,173833333333333","0,8495","0,04415","0,0457666666666667","0,0266333333333333","0,056","0,002","0,1525",St 48
"0,2185","0,198","0,7255","0,0238666666666667","0,0446833333333333","0,0391833333333333","0,0457666666666667","0,00253333333333333","0,159166666666667",St 48
"0,226833333333333","0,190333333333333","0,734333333333333","0,0241333333333333","0,0427","0,0392166666666667","0,0422666666666667","0,00241666666666667","0,160166666666667",St 48
"0,290333333333333","0,178166666666667","0,844333333333333","0,0407333333333333","0,0407833333333333","0,0198","0,05765","0,00251666666666667","0,149333333333333",St 48
"0,296333333333333","0,169833333333333","0,848","0,0402","0,0445666666666667","0,0267166666666667","0,0564333333333333","0,002","0,149166666666667",St 48
"0,103766666666667","0,882","0,782333333333333","0,0221166666666667","0,0249","0,00695","0,0456","0,002","0,175333333333333",St Si
"0,109333333333333","0,887333333333333","0,772333333333333","0,0200333333333333","0,0247333333333333","0,0069","0,0399333333333333","0,00213333333333333","0,172",St Si
"0,275","0,475","0,944666666666667","0,0462","0,0912666666666667","0,0154666666666667","0,0852666666666667","0,0903333333333333","0,152",St 48
"0,257444444444444","0,461","0,837666666666667","0,0384666666666667","0,0495555555555556","0,0212111111111111","0,0646333333333333","0,00865555555555556","0,161222222222222",St 48
"0,251166666666667","0,110333333333333","0,826","0,0337666666666667","0,03385","0,005","0,0329","0,002","0,1135",St 48
"0,269666666666667","0,104166666666667","0,803833333333333","0,0346666666666667","0,0290833333333333","0,00505","0,03205","0,002","0,114166666666667",St 48
"0,238875","0,00635","0,472125","0,017025","0,0309125","0,008675","0,062625","0,0020625","0,178625",St 48
"0,244444444444444","0,075","0,614777777777778","0,0237555555555556","0,0365444444444444","0,00756666666666667","0,0546444444444444","0,00267777777777778","0,162",St 48
"0,136833333333333","0,260666666666667","0,896","0,03245","0,0420666666666667","0,00925","0,0478","0,00565","0,1685",St 48
"0,310166666666667","0,206833333333333","0,6645","0,01285","0,0391833333333333","0,0295","0,0536333333333333","0,00363333333333333","0,183666666666667",St 48
"0,262777777777778","0,159333333333333","0,838444444444444","0,0360777777777778","0,0463666666666667","0,00542222222222222","0,0353111111111111","0,00861111111111111","0,118222222222222",St 48
"0,258166666666667","0,191833333333333","0,649666666666667","0,00961666666666667","0,0284","0,0319833333333333","0,0507666666666667","0,00236666666666667","0,182666666666667",St 48
"0,282","0,252333333333333","0,858666666666667","0,0401","0,0728666666666667","0,005","0,0351666666666667","0,00246666666666667","0,123",St 48
"0,242","0,215","0,805666666666667","0,036","0,0473","0,00513333333333333","0,0353333333333333","0,00403333333333333","0,124333333333333",St 48
"0,155","0,222666666666667","0,803","0,0263333333333333","0,0530666666666667","0,005","0,0431","0,002","0,156",St 48
"0,189833333333333","0,005","0,571833333333333","0,0524333333333333","0,0321666666666667","0,005","0,0193166666666667","0,00783333333333333","0,0334166666666667",St 48
"0,0701714285714286","1,08428571428571","0,619428571428571","0,0100714285714286","0,0368714285714286","0,005","0,0386142857142857","0,0295","0,0975",St Si
"0,0778333333333333","0,005","0,455666666666667","0,0068","0,0262333333333333","0,005","0,04865","0,002","0,180666666666667",St 37
"0,126466666666667","0,00206666666666667","0,371366666666667","0,0559333333333333","0,0641333333333333","0,0127666666666667","0,0367333333333333","0,000633333333333333","0,284733333333333",Flussstahl
"0,01425","0,2941","0,468925","0,1197","0,00955","0,0056","0,025075","0,0157","0,039925",Puddelstahl
"0,05114","0,3496","0,57784","0,10268","0,01046","0,00574","0,02442","0,02066","0,04076",Puddelstahl
"0,03052","0,13922","0,17446","0,12834","0,00684","0,00302","0,02638","0,00548","0,04388",Puddelstahl
"0,01588","0,31512","0,39898","0,13","0,01048","0,00492","0,02734","0,00622","0,03206",Puddelstahl
"0,334366666666667","0,176266666666667","0,3359","0,110833333333333","0,0087","0,00526666666666667","0,0242333333333333","0,00606666666666667","0,0404666666666667",Puddelstahl
"0,1129","0,19492","0,33586","0,12696","0,01096","0,00406","0,02138","0,0089","0,03406",Puddelstahl
"0,053075","0,086225","0,1302","0,11845","0,009725","0,002525","0,032725","0,00425","0,0457",Puddelstahl
"0,0871","0,0316","0,078325","0,048175","0,00375","0,001675","0,030125","0,0019","0,0536",Puddelstahl
"0,0385","0,001","0,45858","0,0421","0,02706","0,0065","0,03554","0,0005","0,02342",Flussstahl
"0,0413","0,001","0,45054","0,03938","0,02614","0,00672","0,0358","0,0005","0,02394",Flussstahl
"0,0592","0,15276","0,21318","0,09676","0,00588","0,0034","0,02204","0,01352","0,04444",Puddelstahl
"0,013575","0,110125","0,178925","0,076975","0,0047","0,00235","0,022075","0,006725","0,041925",Puddelstahl
"0,0547","0,100125","0,279975","0,13","0,0058","0,0056","0,021775","0,003175","0,041175",Puddelstahl
"0,01454","0,25984","0,27654","0,13","0,01026","0,00322","0,03098","0,00862","0,03992",Puddelstahl
"0,02815","0,172716666666667","0,224533333333333","0,0787333333333333","0,0112166666666667","0,00376666666666667","0,0329333333333333","0,007","0,03395",Puddelstahl
"0,265325","0,059925","0,170275","0,08125","0,003275","0,0027","0,023825","0,002075","0,044225",Puddelstahl
